C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,regression target,classification target
divorced,Holders of other higher courses,second choice,Management,daytime,Higher education - degree,65.0,Portuguese,no,no,no,yes,female,no,35,no,0,5.0,5,0,0.0,0,0.0,5.0,5,0.0,0.0,0,11.1,0.6,2.02,0.65,failure
single,Over 23 years old,second choice,Veterinary Nursing,daytime,Secondary education,65.0,Portuguese,no,no,no,yes,,yes,25,no,0,6.0,13,3,11.66666667,0,0.0,6.0,14,2.0,11.33333333,0,11.1,0.6,2.02,0.55,success
single,1st phase - general contingent,seventh choice,Communication Design,daytime,Frequency of higher education,59.5,Portuguese,yes,no,no,yes,male,no,22,no,0,6.0,6,6,14.16666667,0,0.0,6.0,8,6.0,13.625,0,10.8,1.4,1.74,0.616,success
married,Over 23 years old,second choice,Social Service,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,66.55,Portuguese,no,no,no,yes,male,no,42,no,0,6.0,0,0,0.0,0,0.0,6.0,0,0.0,0.0,0,15.5,2.8,-4.06,0.5175,failure
single,1st phase - general contingent,fourth choice,Nursing,daytime,Secondary education,71.0,Portuguese,yes,no,no,yes,female,yes,22,no,0,7.0,7,6,,0,0.0,7.0,7,6.0,13.9,0,7.6,2.6,0.32,0.6865000000000001,success
single,Technological specialization diploma holders,second choice,Veterinary Nursing,daytime,Technological specialization course,70.0,Portuguese,no,no,no,yes,female,no,21,no,2,6.0,9,6,13.14285714,0,0.0,6.0,9,,12.16666667,0,13.9,-0.3,0.79,0.7,success
single,2nd phase - general contingent,third choice,Social Service,daytime,Secondary education,57.5,Portuguese,yes,no,no,yes,female,no,21,no,0,6.0,9,6,11.375,0,0.0,6.0,9,6.0,13.28571429,0,16.2,0.3,-0.92,0.5820000000000001,success
single,2nd phase - general contingent,second choice,Informatics Engineering,daytime,Secondary education,65.5,Portuguese,yes,no,no,yes,male,no,20,no,0,5.0,7,4,,0,0.0,5.0,8,2.0,12.5,0,10.8,1.4,1.74,0.6185,success
single,Holders of other higher courses,second choice,Social Service (evening attendance),evening,Higher education - degree,70.0,Portuguese,no,no,no,no,female,no,26,no,0,5.0,9,0,0.0,0,0.0,5.0,10,0.0,0.0,0,9.4,-0.8,-3.12,0.7,failure
single,1st phase - general contingent,second choice,Management,daytime,Secondary education,80.0,Portuguese,yes,no,no,yes,male,no,18,no,0,5.0,10,3,10.66666667,1,0.0,5.0,11,2.0,12.5,0,9.4,-0.8,-3.12,0.7075,failure
single,Change of course,second choice,Journalism and Communication,daytime,Secondary education,61.0,Portuguese,no,no,no,yes,female,no,21,no,0,6.0,8,6,11.71428571,0,0.0,6.0,7,6.0,12.0,0,7.6,2.6,0.32,0.6345000000000001,success
single,3rd phase - general contingent,second choice,Nursing,daytime,Secondary education,63.0,Portuguese,yes,no,no,yes,female,no,20,no,0,8.0,8,7,14.40285714,0,0.0,8.0,8,7.0,14.40285714,0,10.8,1.4,1.74,0.574,success
single,Over 23 years old,second choice,Social Service,daytime,Secondary education,80.0,Portuguese,no,no,yes,yes,male,no,28,no,2,8.0,15,7,11.0,0,0.0,6.0,17,1.0,10.0,0,10.8,1.4,1.74,0.62,success
